"",ID,Imagen,Objeto,Filtro,Fecha,Estrella,Brillo,Tamano,Brillo maximo correspondiente,Promedio correspondiente,Max_brillo_fecha,Min_brillo_fecha,Brillo relativo,Error correspondiente
205,206,3031o.fits,RU149,B-Johnson+Vacio,2006-04-26,A,45940.0,9.23,1013000.0,65199.0,45940.0,45940.0,0.045350,0.0
206,207,3031o.fits,RU149,B-Johnson+Vacio,2006-04-26,B,194043.0,9.42,1013000.0,281564.0,194043.0,194043.0,0.191553,0.0
207,208,3031o.fits,RU149,B-Johnson+Vacio,2006-04-26,C,52463.0,9.34,1013000.0,157682.0,52463.0,52463.0,0.051790,0.0
209,210,3031o.fits,RU149,B-Johnson+Vacio,2006-04-26,E,83353.0,9.14,1013000.0,118950.0,83353.0,83353.0,0.082283,0.0
210,211,3031o.fits,RU149,B-Johnson+Vacio,2006-04-26,F,63052.0,9.58,1013000.0,107085.0,63052.0,63052.0,0.062243,0.0
211,212,3031o.fits,RU149,B-Johnson+Vacio,2006-04-26,G,175248.0,9.46,1013000.0,256874.0,175248.0,175248.0,0.172999,0.0
212,213,3031o.fits,RU149,B-Johnson+Vacio,2006-04-26,149,11994.0,9.42,1013000.0,154672.0,11994.0,11994.0,0.011840,0.0
213,214,4030o.fits,RU149,R-Johnson+Vacio,2006-04-29,A,5055.0,6.96,628450.0,57289.3,5055.0,5055.0,0.008044,0.0
214,215,4030o.fits,RU149,R-Johnson+Vacio,2006-04-29,B,412892.0,6.82,628450.0,458084.0,412892.0,412892.0,0.657001,0.0
215,216,4030o.fits,RU149,R-Johnson+Vacio,2006-04-29,C,52547.0,7.08,628450.0,68148.2,52547.0,52547.0,0.083614,0.0
217,218,4030o.fits,RU149,R-Johnson+Vacio,2006-04-29,E,141882.0,7.07,628450.0,159312.0,141882.0,141882.0,0.225765,0.0
218,219,4030o.fits,RU149,R-Johnson+Vacio,2006-04-29,F,284277.0,7.01,628450.0,252618.0,284277.0,284277.0,0.452346,0.0
219,220,4030o.fits,RU149,R-Johnson+Vacio,2006-04-29,G,323768.0,7.01,628450.0,347955.0,323768.0,323768.0,0.515185,0.0
220,221,4030o.fits,RU149,R-Johnson+Vacio,2006-04-29,149,60676.0,6.97,628450.0,96594.2,60676.0,60676.0,0.096549,0.0
221,222,4031o.fits,RU149,I-Johnson+Vacio,2006-04-29,A,55622.0,11.34,769958.0,63014.8,55622.0,55622.0,0.072240,0.0
222,223,4031o.fits,RU149,I-Johnson+Vacio,2006-04-29,B,371721.0,11.03,769958.0,492358.0,371721.0,371721.0,0.482781,0.0
223,224,4031o.fits,RU149,I-Johnson+Vacio,2006-04-29,C,55561.0,10.73,769958.0,62955.2,55561.0,55561.0,0.072161,0.0
225,226,4031o.fits,RU149,I-Johnson+Vacio,2006-04-29,E,133944.0,11.04,769958.0,171952.0,133944.0,133944.0,0.173963,0.0
226,227,4031o.fits,RU149,I-Johnson+Vacio,2006-04-29,F,213418.0,10.87,769958.0,332132.0,213418.0,213418.0,0.277181,0.0
227,228,4031o.fits,RU149,I-Johnson+Vacio,2006-04-29,G,292059.0,11.24,769958.0,383243.0,292059.0,292059.0,0.379318,0.0
228,229,4031o.fits,RU149,I-Johnson+Vacio,2006-04-29,149,81823.0,10.22,769958.0,78274.0,81823.0,81823.0,0.106269,0.0
229,230,4032o.fits,RU149,B-Johnson+Vacio,2006-04-29,A,43740.0,13.97,981070.0,65199.0,43740.0,43740.0,0.044584,0.0
230,231,4032o.fits,RU149,B-Johnson+Vacio,2006-04-29,B,193264.0,13.98,981070.0,281564.0,193264.0,193264.0,0.196993,0.0
231,232,4032o.fits,RU149,B-Johnson+Vacio,2006-04-29,C,524997.0,14.03,981070.0,157682.0,524997.0,524997.0,0.535127,0.0
233,234,4032o.fits,RU149,B-Johnson+Vacio,2006-04-29,E,85028.0,13.52,981070.0,118950.0,85028.0,85028.0,0.086669,0.0
234,235,4032o.fits,RU149,B-Johnson+Vacio,2006-04-29,F,65637.0,14.07,981070.0,107085.0,65637.0,65637.0,0.066903,0.0
235,236,4032o.fits,RU149,B-Johnson+Vacio,2006-04-29,G,170878.0,14.02,981070.0,256874.0,170878.0,170878.0,0.174175,0.0
236,237,4032o.fits,RU149,B-Johnson+Vacio,2006-04-29,149,114523.0,14.14,981070.0,154672.0,114523.0,114523.0,0.116733,0.0
237,238,5031o.fits,RU149,I-Johnson+Vacio,2006-04-30,A,74797.0,5.58,925807.0,63014.8,74797.0,74797.0,0.080791,0.0
238,239,5031o.fits,RU149,I-Johnson+Vacio,2006-04-30,B,606202.0,5.34,925807.0,492358.0,606202.0,606202.0,0.654782,0.0
239,240,5031o.fits,RU149,I-Johnson+Vacio,2006-04-30,C,74998.0,5.55,925807.0,62955.2,74998.0,74998.0,0.081008,0.0
241,242,5031o.fits,RU149,I-Johnson+Vacio,2006-04-30,E,210115.0,5.22,925807.0,171952.0,210115.0,210115.0,0.226953,0.0
242,243,5031o.fits,RU149,I-Johnson+Vacio,2006-04-30,F,425960.0,5.78,925807.0,332132.0,425960.0,425960.0,0.460096,0.0
243,244,5031o.fits,RU149,I-Johnson+Vacio,2006-04-30,G,469287.0,5.79,925807.0,383243.0,469287.0,469287.0,0.506895,0.0
244,245,5031o.fits,RU149,I-Johnson+Vacio,2006-04-30,149,89653.0,5.56,925807.0,78274.0,89653.0,89653.0,0.096838,0.0
245,246,5032o.fits,RU149,R-Johnson+Vacio,2006-04-30,A,75692.0,6.32,1130000.0,57289.3,75692.0,75692.0,0.066984,0.0
246,247,5032o.fits,RU149,R-Johnson+Vacio,2006-04-30,B,532910.0,5.72,1130000.0,458084.0,532910.0,532910.0,0.471602,0.0
247,248,5032o.fits,RU149,R-Johnson+Vacio,2006-04-30,C,80477.0,5.54,1130000.0,68148.2,80477.0,80477.0,0.071219,0.0
249,250,5032o.fits,RU149,R-Johnson+Vacio,2006-04-30,F,193977.0,5.77,1130000.0,252618.0,193977.0,193977.0,0.171661,0.0
250,251,5032o.fits,RU149,R-Johnson+Vacio,2006-04-30,G,307189.0,6.24,1130000.0,347955.0,307189.0,307189.0,0.271849,0.0
251,252,5032o.fits,RU149,R-Johnson+Vacio,2006-04-30,H,431561.0,6.20,1130000.0,431561.0,431561.0,431561.0,0.381912,0.0
252,253,5032o.fits,RU149,R-Johnson+Vacio,2006-04-30,149,116608.0,6.01,1130000.0,96594.2,116608.0,116608.0,0.103193,0.0
253,254,5033o.fits,RU149,B-Johnson+Vacio,2006-04-30,A,78333.0,7.92,1824000.0,65199.0,78333.0,78333.0,0.042946,0.0
254,255,5033o.fits,RU149,B-Johnson+Vacio,2006-04-30,B,349812.0,7.72,1824000.0,281564.0,349812.0,349812.0,0.191783,0.0
255,256,5033o.fits,RU149,B-Johnson+Vacio,2006-04-30,C,99737.0,7.70,1824000.0,157682.0,99737.0,99737.0,0.054680,0.0
257,258,5033o.fits,RU149,B-Johnson+Vacio,2006-04-30,E,151575.0,7.77,1824000.0,118950.0,151575.0,151575.0,0.083100,0.0
258,259,5033o.fits,RU149,B-Johnson+Vacio,2006-04-30,F,112445.0,7.72,1824000.0,107085.0,112445.0,112445.0,0.061647,0.0
259,260,5033o.fits,RU149,B-Johnson+Vacio,2006-04-30,G,322191.0,7.68,1824000.0,256874.0,322191.0,322191.0,0.176640,0.0
260,261,5033o.fits,RU149,B-Johnson+Vacio,2006-04-30,149,212232.0,7.76,1824000.0,154672.0,212232.0,212232.0,0.116355,0.0
261,262,2043o.fits,PG1323-086,B-Johnson+Vacio,2006-04-25,A,111549.0,9.08,182877.0,504252.0,111549.0,111549.0,0.609967,0.0
262,263,2043o.fits,PG1323-086,B-Johnson+Vacio,2006-04-25,B,93908.0,7.82,182877.0,451706.0,93908.0,93908.0,0.513504,0.0
263,264,2043o.fits,PG1323-086,B-Johnson+Vacio,2006-04-25,C,59346.0,9.32,182877.0,272244.0,59346.0,59346.0,0.324513,0.000000
265,266,2044o.fits,PG1323-086,R-Johnson+Vacio,2006-04-25,A,144162.0,6.84,192119.0,439463.0,144162.0,144162.0,0.750379,0.000000
267,268,2044o.fits,PG1323-086,R-Johnson+Vacio,2006-04-25,C,111394.0,6.83,192119.0,349305.0,111394.0,111394.0,0.579818,0.000000
268,269,2044o.fits,PG1323-086,R-Johnson+Vacio,2006-04-25,2R,115691.0,7.06,192119.0,377272.0,115691.0,115691.0,0.602184,0.000000
270,271,2045o.fits,PG1323-086,I-Johnson+Vacio,2006-04-25,B,232767.0,5.83,1491630.0,549018.0,232767.0,232767.0,0.156049,0.000000
271,272,2045o.fits,PG1323-086,I-Johnson+Vacio,2006-04-25,C,127265.0,6.00,1491630.0,299741.0,127265.0,127265.0,0.085319,0.000000
272,273,2045o.fits,PG1323-086,I-Johnson+Vacio,2006-04-25,2R,88009.0,6.08,1491630.0,212157.0,88009.0,88009.0,0.059002,0.000000
273,274,2056o.fits,PG1633+099,B-Johnson+Vacio,2006-04-25,A,33326.0,9.15,228463.0,34015.9,33326.0,33326.0,0.145870,0.000000
275,276,2056o.fits,PG1633+099,B-Johnson+Vacio,2006-04-25,C,174962.0,7.85,228463.0,178095.0,174962.0,174962.0,0.765822,0.000000
276,277,2056o.fits,PG1633+099,B-Johnson+Vacio,2006-04-25,D,66241.0,2.41,228463.0,69137.3,66241.0,66241.0,0.289942,0.000000
277,278,2056o.fits,PG1633+099,B-Johnson+Vacio,2006-04-25,2R,179724.0,7.89,228463.0,159067.0,179724.0,179724.0,0.786666,0.000000
278,279,2057o.fits,PG1633+099,R-Johnson+Vacio,2006-04-25,A,77420.0,6.37,692523.0,96066.2,77420.0,77420.0,0.111794,0.000000
280,281,2057o.fits,PG1633+099,R-Johnson+Vacio,2006-04-25,C,556056.0,5.61,692523.0,552862.0,556056.0,556056.0,0.802942,0.000000
281,282,2057o.fits,PG1633+099,R-Johnson+Vacio,2006-04-25,D,6722.0,3.00,692523.0,115833.0,6722.0,6722.0,0.009707,0.000000
282,283,2057o.fits,PG1633+099,R-Johnson+Vacio,2006-04-25,2R,100009.0,6.71,692523.0,119994.0,100009.0,100009.0,0.144413,0.000000
283,284,2058o.fits,PG1633+099,I-Johnson+Vacio,2006-04-25,A,105393.0,6.27,917442.0,121004.0,105393.0,105393.0,0.114877,0.000000
